Equipo,Competición,Temporada,Partidos,%Posesion de balon,%Posesion en campo rival,Tiros,Tiros al arco,Goles,Goles esperados,Pases totales,Centros,Pases bajo presion,%Pases exitosos totales,%Pases exitosos bajo presion,%Pases exitosos sin presion,Offsides,Recuperaciones de balon,tiempo_presion,tiempo_presion_ofensiva,tiempo_presion_defensiva,bloqueos,despejes,duelos_ganados,faltas_cometidas,#se_llevan_a_un_defensa,intercepciones
Peru,Copa America,2024,3,36.953453779214776,15.315608476767537,6.666666666666667,3.0,0.0,0.4551545655666666,320.6666666666667,8.333333333333334,72.33333333333333,70.69,59.91,73.83,0.0,37.0,110.76700866666665,46.89502533333334,63.87198333333333,20.333333333333332,10.333333333333334,10.0,22.0,6.666666666666667,6.0
Chile,Copa America,2024,3,49.70981874382586,15.554828528781734,6.666666666666667,2.3333333333333335,0.0,0.5077775674999999,434.6666666666667,6.333333333333333,73.0,78.14,71.69,79.45,0.3333333333333333,43.666666666666664,104.07681866666667,45.184232666666674,58.892586,20.666666666666668,17.0,10.333333333333334,13.666666666666666,8.0,4.0
Bayer Leverkusen,1. Bundesliga,2023/2024,34,61.46547190065313,31.42574288311045,17.294117647058822,7.0,2.323529411764706,2.047670667005882,709.0294117647059,12.529411764705882,97.17647058823529,88.57,81.66,89.66,0.3235294117647059,48.1764705882353,119.46792867647059,67.4055954117647,52.06233326470588,18.11764705882353,16.235294117647058,6.470588235294118,10.117647058823529,5.411764705882353,4.235294117647059
Union Berlin,1. Bundesliga,2023/2024,2,33.94596347596751,10.788748385969132,4.5,0.5,0.0,0.25827868550000005,383.0,7.0,67.0,78.07,72.39,79.27,0.0,40.5,159.193089,47.626113000000004,111.56697600000001,26.0,17.0,9.0,8.0,6.5,4.5
Eintracht Frankfurt,1. Bundesliga,2023/2024,2,45.791660642467,17.26796079914172,9.5,3.5,0.5,0.7434008990000001,527.5,7.5,92.0,83.32,79.35,84.16,0.0,41.0,176.765584,89.69688299999999,87.068701,20.0,18.0,9.5,13.5,11.0,8.0
Bochum,1. Bundesliga,2023/2024,2,31.438807515342234,11.618926230703169,4.5,0.5,0.0,0.300886255,327.0,7.0,60.0,72.94,65.83,74.53,0.5,36.0,123.59391500000001,68.7464755,54.8474395,19.0,14.5,11.0,11.0,6.0,11.0
Darmstadt 98,1. Bundesliga,2023/2024,2,28.27284542867188,9.994115793595885,6.0,3.5,0.5,0.6450696119999999,345.5,4.0,47.0,75.4,56.38,78.39,0.0,37.5,182.37663849999998,57.583059,124.7935795,24.0,24.0,8.5,15.5,15.0,9.5
Freiburg,1. Bundesliga,2023/2024,2,31.892933738456883,11.86126598669862,9.5,3.5,1.5,0.7678041349999999,349.5,8.5,48.0,76.97,57.29,80.1,0.0,42.5,101.8518265,30.506269500000002,71.34555700000001,16.0,24.0,6.5,13.0,10.0,5.0
Hoffenheim,1. Bundesliga,2023/2024,2,40.417860416150724,15.300953057539465,9.0,4.5,1.5,1.0663641964999997,450.5,10.5,77.5,81.13,75.48,82.31,0.5,34.0,156.9245655,46.243745499999996,110.68082000000001,24.5,28.5,4.5,9.0,9.0,7.0
Bayern Munich,1. Bundesliga,2023/2024,2,58.3227373519534,26.470462082966215,12.0,5.0,1.0,1.394783798,674.0,12.5,101.0,86.05,77.23,87.61,0.5,44.5,132.7481555,70.2735945,62.474560999999994,19.0,9.5,8.5,10.5,12.5,7.5
Borussia Dortmund,1. Bundesliga,2023/2024,2,41.71127814518453,12.898773195597867,6.5,2.0,1.0,0.6100655168,426.5,5.5,65.0,81.36,76.15,82.3,0.5,42.0,127.30960199999998,36.0278545,91.28174750000001,31.0,27.0,11.5,14.0,10.0,5.0
FC Köln,1. Bundesliga,2023/2024,2,28.54112623372522,7.82587256641334,6.0,2.0,0.0,0.9194405875,342.5,5.5,69.0,79.27,83.33,78.24,0.0,30.5,155.4588545,54.91263549999999,100.54621900000001,24.0,25.5,8.0,10.5,7.0,6.5
FC Heidenheim,1. Bundesliga,2023/2024,2,33.09720124808914,11.738949850502518,4.0,2.0,1.0,0.392025287,392.0,7.5,65.0,72.96,64.62,74.62,0.0,36.0,197.193316,71.0244725,126.16884350000001,33.5,23.5,8.0,14.5,13.5,4.5
RB Leipzig,1. Bundesliga,2023/2024,2,48.32293566095634,17.049393188170185,11.0,6.0,2.0,1.3334813045,525.5,4.5,32.0,83.54,71.88,84.3,0.0,42.0,110.696602,48.038657,62.657945000000005,23.5,9.5,7.0,11.5,8.0,7.0
Augsburg,1. Bundesliga,2023/2024,2,30.064022621912223,10.348095813552748,6.5,1.0,0.5,0.499396657,344.0,6.0,70.0,80.67,69.29,83.58,0.0,39.0,167.8612245,67.2285655,100.63265899999999,33.0,26.5,9.0,12.0,10.0,9.0
